Experiment,group,food,temperature,stage,val,val_li,val_ui,intercept,intercept_li,intercept_ui,p_not_zero,N,diff_val,diff_li,diff_ui,diff_p,replicate_id
four_temp_scaling,wildtype UV-inactivated 20,UV,20,movement_vs_death,0.853409244,0.806308153,0.900510336,4.265448454,3.415520566,5.115376341,0,1441,0.147318667,0.100724943,0.202897122,0,6
four_temp_scaling,wildtype UV-inactivated 20,UV,20,vigorous_vs_death,0.789950089,0.708026081,0.871874097,8.723731194,7.590494451,9.856967937,0,1441,0.210803955,0.130459963,0.284117141,0,6
four_temp_scaling,wildtype UV-inactivated 25,UV,25,movement_vs_death,0.969938821,0.925690142,1.014187499,1.784607402,1.147139481,2.422075322,0,2346,0.029707012,-0.016368544,0.07596604,0.1008,6
four_temp_scaling,wildtype UV-inactivated 25,UV,25,vigorous_vs_death,0.912009237,0.847321515,0.97669696,4.459252161,3.658887663,5.259616659,0,2346,0.08802818,0.027486338,0.149356344,0.0032,6
tbooh_1_5mm_6mm,1.5,Live,20,movement_vs_death,1,1,1,-7.32E-16,-1.03E-15,-4.33E-16,0,848,-1.16E-17,-1.55E-15,-6.66E-16,0.634,1
tbooh_1_5mm_6mm,1.5,Live,20,vigorous_vs_death,0.851859814,0.708977196,0.994742432,0.401664388,0.194753451,0.608575324,0,848,0.140888334,0.015081318,0.234424396,0.0136,1
tbooh_1_5mm_6mm,3,Live,20,movement_vs_death,1,1,1,-1.34E-16,-2.55E-16,-1.26E-17,0,706,-2.62E-17,-6.66E-16,-2.22E-16,0.6348,1
tbooh_1_5mm_6mm,3,Live,20,vigorous_vs_death,0.597063908,0.405155297,0.78897252,0.411887565,0.300852326,0.522922804,0,706,0.424028758,0.121550788,0.82937159,0,1
tbooh_1_5mm_6mm,6,Live,20,movement_vs_death,1,1,1,-1.31E-16,-2.26E-16,-3.53E-17,0,741,-9.10E-18,-1.78E-15,-1.78E-15,0.678,1
tbooh_1_5mm_6mm,6,Live,20,vigorous_vs_death,0.672799204,0.330956142,1.014642266,0.193821553,0.120091222,0.267551884,0,741,0.344283932,0.044330274,0.679431231,0.0072,1
